,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0,5.915624349553752,3.6197474519569557,-11.37485335562621,4.511047997483462,8.473472367893052,-0.36155164373642923,4.8705082905267405,5.611643978580978,6.442018882005685,-6.215415260158177
1,9.16368116293766,3.2434050452948036,-9.117146730009305,4.914046536735852,8.672829718961545,3.0870205473694385,5.912965236907659,8.436282948886774,8.906484396461646,-9.544977194402103
2,-8.811332523122715,-7.833458220648922,8.160204726868109,6.704484394462607,-5.916631495528755,3.8054847069938655,-4.482368424687865,-7.2698777800781516,-4.727306624882847,5.715858338497763
3,-5.637697285374972,0.4704014327718957,-2.5243027127700772,1.9215826215638239,7.541388680695404,7.160938828069643,1.3454852092928262,4.397945847240352,6.049103956326499,3.362854027828679
4,-5.671843816990336,2.8423151801603264,-7.056645009698231,5.438295278347182,3.549797603558001,5.525150314558045,6.2063228468078755,4.782128422775199,8.909895172119688,3.7832525576879594
5,6.301220797845497,6.730162518108689,5.753297380002342,-10.307333825621052,1.0881962101521028,-0.48012660146055763,0.9165425205961457,1.8854792225237627,-0.002643256372878877,8.136968419859397
6,-7.4312474276425,-8.087100550030312,7.501751952157294,9.577646693360215,-8.835624359276776,1.932256547267201,-1.9947258314630045,-11.371362249905685,-1.4543500263343887,3.099335734030273
7,3.6652103143274477,4.373412976749674,-2.860902718779972,9.77416628205084,9.276958680735301,1.5309599407972163,3.469869233176729,6.395292864119354,7.701042832757771,-6.5084069432300495
8,-6.817971642897463,-2.4263489287676245,-3.0408363258631237,6.634761554652756,5.795605205477434,2.3577050955073933,4.91596914751393,4.898114783291227,7.575954583741879,4.344603400395459
9,3.7704726718715413,8.876598563640766,6.079524923671014,-10.708726351401522,2.494231184139838,4.687624670395802,1.9942553174903002,3.2571394403142193,-5.651257807405939,6.404007158365768
10,8.83308340689001,6.982234599516774,8.944864567355566,-6.312167869417985,3.325851724923866,1.847557890307946,3.616073324455133,1.9058763999612318,-4.344373575251938,10.034696047814021
11,5.631697757417753,2.517168994591394,8.597487373622723,-5.8639684989264875,4.034465716581103,1.6898935335544354,3.8084432021179477,3.4733487738418605,-3.6502352782419307,8.246481767076247
